265,Am primit de ziua mea o periuță de dinți sonicare  Nici nu se compara periutele clasice cu aceasta  Este inteligenta  eficienta  se adaptează în funcție de nevoile fiecaruia  calitatea este ireproșabilă  Bateria durează foarte mult  Cu siguranță că voi continua sa folosesc aceasta marca și de acum încolo  Felicitări celor de la Philips Acest review a fost postat initial pe site-ul Philips,1
388, Pro  Foarte bun! Cumparat in decembrie 2014 si azi decembrie 2016 functioneaza fara probleme  Mic  comod  usor si foarte harnic a muncit mult si din greu pe suprafete mici si mari  Nu am gasit hartia abraziva pe masura dar am adaptat altele ce se gasesc pe piata  Am mai lucrat si cu alte slefuitoare dar micul   Octo   este preferatul meu si isi merita bani din greu  Eu sunt foare multumit de el si il recomand Contra  Nu are si celelalte accesori ,1
630,Samsung missing audio codec DTSLG the best device !! ,0
525,Aparatul vine fara stecher la cablul de alimentare si fara suportul pentru unitate externa  In rest nu-mi dau seama ce mai lipsete  atata timp cat zice ca are kit-ul de instalare inclus Personalul nu prea iti acorda atentie cand vine vorba de intrebari legate de produs  iar mie mi-a gresit si adresa de livrare Am comandat instalare de la alta firma deoarece instalarea lor lasa de dorit  Aparatul l-am cumparat din altex AFI Cotroceni,0
387, Sunt super mulțumit de acest produs e nou ce pot spune despre el  bateria ma tine 36h foit (jocuri  apel video și camera) și aproape 60h în regim de   alo și puțin Facebook    In rest se misca excelent - fost posesor al unui S9 si al unui S10 S10 e impecabil dar am vrut sa fac un upgrade și m-am îndreptat către gama Note Ar fi fost mai ok dacă se pastra și jack-ul  Raport calitate-pret 10/10 Îl recomand cu incredere ,1
996,Forma tastelor fara ramă 10/10  Anularea tastei Windows  Restul 1/10  - LEDb slăbuț nici nu e full transparent in unele locuri sub taste urme de vopsea la stropire tastele seara se vad slab luminate chiar la nivelul 3 de intensitate ( maxim ) - marginea tastaturii nici măcar nu este etanșă  doar acolo unde sunt șuruburile - cablul este prea subțire - tastele lungi din dreapta nu au acel stabilizator la fel și backspace,0
157,Este decent!,1
668,Nu cumpărați! Inutil,0
366,Functioneaza superb  In aceeasi camera fac download wireless ca de pe cablu  La etaj prin plafon si 2 pereti de beton (camera pe diagonala fata de unde este routerul jos) am semnal 2-3 liniute din 5  semnal stabil cu f mici intreruperi Antenele alea 3 chiar isi fac treaba Si e si frumushel: o)  Cumparati cu incredere  merita tori banii  Recomand!,1
83,Super jocul merita luat acest pachet de la Altex pentru ca iesi mai ieftin decat ai luat separat de altundeva  Recomand pasionatilor de simulatoare,1
819,nu face banii se strica repede servisare tu ești de vina că l-ai folosit,0
29,Este un gamepad bun  acumulatorul ma tine o saptamana cate 1 ora pe zi  butoanele sunt OK Recomand,1
985,Produsul nu a mai fost livrat niciodata si nu am fost nici contactata sa mi se spuna a trebuit sa sun eu sa aflu ca nu mai este in stoc Nu inteleg in primul rand de ce li se dadea cu nemiluita la cate 10 minute intr-un interval de timp foarte scurt  accesul persoanelor sa il achitioneze daca oricum nu erau destule pe stoc pentru toata lumea Sunt la un liceu de informatica si aveam mare nevoie de el deoarece cel vechi mi s-a stricat dar banuiesc ca asta e Romania ,0
972, Cea mai de cct baterie existentă  nu știut și nu sunt sigur dacă are alea 20000mah dar telefonul meu S10 plus se încarcă în 5 ore și 30 de minute  butonul de pornire parcă este lipit cu dublu adeziv  Vine la pachet cu un cablu de   2 cm   și plus la asta se încarcă însăși bateria în vreo 10 ore  Deci nu recomand Mai bine de la Xioami  aia de 10000 care le are sigur  si are si prețul de 70 de lei  Mulțumesc anticipat pentru Altex Cluj care nu a vrut să acepte returul! ,0
